Terminal;Printer;Location;Department
BE04DW70003;BE04P019;TM 25 - 65;Tufting
BE04DW70004;BE04P020;TM 76 - 77;Tufting
BE04DW70005;BE04P021;TM 78 - 63;Tufting
BE04DW70006;BE04P012;TM 58;Tufting
BE04DW70007;BE04P027;TM 45 - 66;Tufting
BE04DW70008;BE04P022;TM 38 - 67;Tufting
BE04DW70009;BE04P029;TM 56;Tufting
BE04DW70010;BE04P026;TM 72 - 06;Tufting
BE04DW70011;BE04P025;TM 74 - 80;Tufting
BE04DW70012;BE04P023;TM 33 - 55;Tufting
BE04DW70013;BE04P005;Dyeing Dryer;Ververij
BE04DW70014;BE04P024;Reeling;Spinnerij
BE04DW70015;N.V.T.;Carding;Spinnerij
BE04DW70016;N.V.T.;Ringspin 4;Spinnerij
BE04DW70017;BE04P018;Axminster 4 ;Weverij
BE04DW70018;BE04P017;Axminster 5 - 6;Weverij
BE04DW70019;BE04P016;WG 18 - 19 - 20;Weverij
BE04DW70020;BE04P001;WG 11 - 21;Weverij
BE04DW70021;BE04P015;WG 22 - 23;Weverij
BE04DW70022;N.V.T;Mending Weave 1 & 2;Weverij
BE04DW70023;N.V.T;Smart Creel Boven Links;Weverij
BE04DW70024;N.V.T;Smart Creel Boven Rechts;Weverij
BE04DW70025;N.V.T;Boomtuft;Tufting
BE04DW70026;BE04P008;Oprol 2 ververij;Ververij
BE04DW70027;BE04P010;Oprol 1 ververij;Ververij
BE04DW70028;BE04P006;Gilbos 3;Spoelerij
BE04DW70029;N.V.T;Brug continue;Ververij
BE04DW70030;BE04P014;Gilbos 2;Spoelerij
BE04DW70031;BE04P011;Spoelmolens;Spoelerij
BE04DW70032;BE04P009;Bureau Werner;Mengeling
BE04DW70033;N.V.T.;Scheerlijn;Weverij
BE04DW70034;BE04P028;Opwikkel;Weverij
BE04DW70035;N.V.T.;Voor bureel Hans R. Kast links;Ververij
BE04DW70036;N.V.T.;Voor bureel Hans R. Kast rechts;Ververij
BE04DW70037;N.V.T.;Primonkast Supertuft;Tufting
BE04DW70038;N.V.T.;Aanstik continu;Ververij
BE04DW70039;BE04P013;TM 68;Tufting
BE04DW70040;BE04P007;TM 81;Tufting
BE04DW70041;BE04P003;TM 82;Tufting
BE04DW70042;N.V.T.;Stopstand;Tufting
