Terminal;6/12/2017 - 7:30
BE04DW70003;OK
BE04DW70004;OK
BE04DW70005;OK
BE04DW70006;OK
BE04DW70007;OK
BE04DW70008;OK
BE04DW70009;OK
BE04DW70010;OK
BE04DW70011;OK
BE04DW70012;OK
BE04DW70013;OK
BE04DW70014;OK
BE04DW70015;OK
BE04DW70016;OK
BE04DW70017;OK
BE04DW70018;Offline
BE04DW70019;OK
BE04DW70020;OK
BE04DW70021;OK
BE04DW70022;OK
BE04DW70023;OK
BE04DW70024;OK
BE04DW70025;OK
BE04DW70026;CTWIN not running
BE04DW70027;CTWIN not running
BE04DW70028;OK
BE04DW70029;OK
BE04DW70030;OK
BE04DW70031;OK
BE04DW70032;OK
BE04DW70033;OK
BE04DW70034;Offline
BE04DW70035;OK
BE04DW70036;OK
BE04DW70037;Offline
BE04DW70038;OK
BE04DW70039;OK
BE04DW70040;OK
BE04DW70041;Offline
