"Terminal","Notification","12/06/2017 11:30:52"
"NL02DW70015","No ini file","No ini file"
"NL02DW70016","Offline","Offline"
"NL02DW70017","CTWIN overwritten","OK"
"NL02DW70019","Offline","Offline"
"NL02DW70021","CTWIN overwritten","OK"
"NL02DW70022","CTWIN overwritten","OK"
"NL02DW70023","OK","OK"
"NL02DW70024","Offline","Offline"
"NL02DW70025","Not reachable.",
"NL02DW70026","","OK"
"NL02DW70027","Not reachable.","OK"
"NL02DW70028","Offline","Offline"
"NL02DW70029","OK","Not reachable."
"NL02DW70030","OK","OK"
"NL02DW70037","Offline","Offline"
"NL02DW70038","Offline","Offline"
"NL02DW70039","Offline","Offline"
